country,beer_servings,spirit_servings,wine_servings,Total Alcohol,Rainfall,Rainfall 2,unemployment rate,Population,GDP,Literacy,Temp,Region,Island
Montenegro,31,114,128,4.9,1227.182475,48.31429676,18.31,621810,4587741791,98.71994781,7.906949917,Europe,0
Morocco,12,6,10,0.5,322.2665445,12.68766608,4.800000191,33921203,1.10E+11,71.7105484,17.2250961,North Africa,0
Mozambique,47,18,5,1.3,1007.805793,39.67741485,19.10000038,27216276,16945889410,58.83655167,23.68935959,Sub-Saharan Africa,0
Myanmar,5,1,0,0.1,2007.700734,79.04337867,10.19999981,53437159,64330041773,93.09004974,22.95692088,East Asia,0
Namibia,376,3,1,6.8,273.8312011,10.78076177,22.60000038,2402858,12838336840,90.82050323,20.03803485,Sub-Saharan Africa,0
Nauru,49,0,8,1,2046,80.5512246,90,10176,153000000,95.3,27,Pacific,1
Nepal,5,6,0,0.2,1406.411774,55.37057218,18.60000038,28174724,19769642123,64.66364288,12.74394041,East Asia,0
Netherlands,251,88,190,9.4,766.0688782,30.16020834,7,16865008,8.79E+11,99,9.201737643,Europe,0
New Zealand,203,79,175,9.3,1790.945674,70.50971028,6.900000095,4509700,2.00E+11,99,9.975832156,Pacific,1
Nicaragua,78,118,1,3.5,2406.969395,94.76262578,6.8,6013913,11790221756,82.47184753,24.58878273,Latin America,0
Niger,3,2,1,0.1,160.8031721,6.330836966,5.599999905,19113728,8245312137,19.1026001,27.23872952,Sub-Saharan Africa,0
Nigeria,42,5,2,9.1,1138.53189,44.82411436,5.300000191,177475986,5.68E+11,59.5680809,26.78221455,Sub-Saharan Africa,0
Norway,169,71,129,6.7,1051.840741,41.41107516,6.276374507,5137232,5.01E+11,99,0.753892466,Europe,0
Oman,22,16,1,0.7,88.2071068,3.472722615,7.4,4236057,81796618986,93.97164917,25.45410276,Middle East,0
Palau,306,63,23,6.9,3650,143.700865,4.2,21097,250900000,99.52396393,26.3,Pacific,1
Panama,285,104,18,7.2,2487.02656,97.91448437,5.199999809,3867535,49165773100,95.0382309,24.72233335,Latin America,0
Puerto Rico,8,0,1,2.4,2126.020955,83.7016576,7,125385833,1.30E+12,93.329422,24.27766673,Caribbean,1
Papua New Guinea,44,39,1,1.5,3106.057723,122.2858032,2.1,7463577,16928680397,63.43349075,25.053585,Pacific,1
Paraguay,213,117,74,7.3,1093.894596,43.06673963,4.300000191,6552518,30881166852,95.53610992,23.48019004,South America,0
